,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
baenkelsaenger,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.01585930659643403,0.01585930659643403,1.0,MALE,1778
lichtputzer,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.01585930659643403,0.01585930659643403,1.0,MALE,1778
doktor,16,3.0,1.0,1.0,2.0,6.0,0.06593406593406594,0.06593406593406594,0.05053864537642731,0.05053864537642731,0.75,MALE,1778
esther,16,2.0,1.0,3.0,1.0,8.0,0.0,0.0,0.10572192823987861,0.10572192823987861,0.5,FEMALE,1778
ahasverus,29,2.0,1.0,5.0,1.0,11.0,0.0,0.0,0.10572192823987861,0.10572192823987861,0.3793103448275862,MALE,1778
tirolerin,3,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.10572192823987861,0.10572192823987861,0.3333333333333333,FEMALE,1778
gouvernante,3,2.0,1.0,1.0,1.0,1.0,0.03296703296703297,0.03296703296703297,0.05905646378943634,0.05905646378943634,0.3333333333333333,FEMALE,1778
fraeulein,4,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.10572192823987861,0.10572192823987861,0.25,FEMALE,1778
milchmaedchen,4,2.0,1.0,1.0,1.0,1.0,0.05494505494505495,0.05494505494505495,0.04079855401632475,0.04079855401632475,0.25,FEMALE,1778
mardochai,17,2.0,1.0,8.0,1.0,3.0,0.0,0.0,0.10572192823987861,0.10572192823987861,0.17647058823529413,MALE,1778
haman,29,2.0,1.0,11.0,1.0,5.0,0.0,0.0,0.10572192823987861,0.10572192823987861,0.1724137931034483,MALE,1778
amtmann,6,3.0,2.0,4.0,1.0,1.0,0.05494505494505495,0.05494505494505495,0.050819213741673065,0.050819213741673065,0.16666666666666666,MALE,1778
zigeunerhauptmann,10,2.0,1.0,1.0,1.0,1.0,0.03296703296703297,0.03296703296703297,0.02933987929598927,0.02933987929598927,0.1,MALE,1778
marktschreier,11,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.037338641042117815,0.037338641042117815,0.0,MALE,1778
pfarrer,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06605842010589173,0.06605842010589173,0.0,MALE,1778
